id,score,happy,sad,angry,relaxed
05wIrZSwuaVWhcv5FfqeH0,1.36237996259576,1,0,0,0
4kbj5MwxO1bq9wjT5g9HaA,1.36741239992354,1,0,0,0
32OlwWuMpZ6b0aN2RZOeMS,1.42008609549146,1,0,0,0
6JV2JOEocMgcZxYSZelKcc,1.44356719134098,1,0,0,0
6NPVjNh8Jhru9xOmyQigds,1.45954021731739,1,0,0,0
6FE2iI43OZnszFLuLtvvmg,1.46331124953674,1,0,0,0
5Hroj5K7vLpIG4FNCRIjbP,1.54808325658398,1,0,0,0
575NJxNUVDqwJGdzBrlLbv,1.57011741210586,1,0,0,0
21RzyxY3EFaxVy6K4RqaU9,1.62512134609816,1,0,0,0
4o6BgsqLIBViaGVbx5rbRk,1.65156482906011,1,0,0,0
2tUBqZG2AbRi7Q0BIrVrEj,1.67353383117952,1,0,0,0
6Ac4NVYYl2U73QiTt11ZKd,1.67558723681058,1,0,0,0
55h7vJchibLdUkxdlX3fK7,1.69667363468778,1,0,0,0
4ut5G4rgB1ClpMTMfjoIuy,1.69667363468778,1,0,0,0
15kQGEy89K8deJcZVFEn0N,1.69667363468778,1,0,0,0
5b88tNINg4Q4nrRbrCXUmg,1.70540346594667,1,0,0,0
7mldq42yDuxiUNn08nvzHO,1.71883632486054,1,0,0,0
0w5Bdu51Ka25Pf3hojsKHh,1.72340788793502,1,0,0,0
5zA8vzDGqPl2AzZkEYQGKh,1.73035674789035,1,0,0,0
1z6WtY7X4HQJvzxC4UgkSf,1.73269796370525,1,0,0,0
7hQJA50XrCWABAu5v6QZ4i,1.73979830412319,1,0,0,0
0kHyKhJMukHEPfeh8s7rdM,1.74701666112837,1,0,0,0
0ikz6tENMONtK6qGkOrU3c,1.75683164342197,1,0,0,0
6YUTL4dYpB9xZO5qExPf05,1.75932044382567,1,0,0,0
3DmW6y7wTEYHJZlLo1r6XJ,1.77976160406821,1,0,0,0
3E7dfMvvCLUddWissuqMwr,1.78238574789436,1,0,0,0
10GJQkjRJcZhGTLagFOC62,1.78502584406057,1,0,0,0
05mAIVLkIWc2d1UBYZBCp8,1.79035467756564,1,0,0,0
3T4UodGkfZObJ43RtA5KFU,1.79304381607642,1,0,0,0
6jreFSOTUAViWjKyzOC4Kg,1.80121260515385,1,0,0,0
2y4lAQpi5VTNLu2ldeTdUH,1.80674509375381,1,0,0,0
66S14BkJDxgkYxLl5DCqOz,1.80953799393798,1,0,0,0
5Q0Nhxo0l2bP3pNjpGJwV1,1.8123489712718,1,0,0,0
46lFttIf5hnUZMGvjK0Wxo,1.81517826129067,1,0,0,0
2Foc5Q5nqNiosCNqttzHof,1.81517826129067,1,0,0,0
4hObp5bmIJ3PP3cKA9K9GY,1.8208927448151,1,0,0,0
2bJvI42r8EF3wxjOuDav4r,1.82377843305259,1,0,0,0
4QVS8YCpK71R4FsxSMCjhP,1.82668342369599,1,0,0,0
6Knv6wdA0luoMUuuoYi2i1,1.83255235736009,1,0,0,0
5IVuqXILoxVWvWEPm82Jxr,1.83850168987329,1,0,0,0
1vvNmPOiUuyCbgWmtc6yfm,1.83850168987329,1,0,0,0
4qqArAiTPueDxIp7cf87h7,1.84453365464321,1,0,0,0
0tKcYR2II1VCQWT79i5NrW,1.84453365464321,1,0,0,0
7fCNUWi6uflDTQ08srxMZk,1.84453365464321,1,0,0,0
5Xn4IyTtW6FUGIUyWjbUHG,1.84758134772521,1,0,0,0
4NtUY5IGzHCaqfZemmAu56,1.84758134772521,1,0,0,0
7EI6Iki24tBHAMxtb4xQN2,1.85065057945289,1,0,0,0
6g1NlCpW7fgqDnWbCCDrHl,1.85065057945289,1,0,0,0
3AszgPDZd9q0DpDFt4HFBy,1.85065057945289,1,0,0,0
5YbgcwHjQhdT1BYQ4rxWlD,1.85065057945289,1,0,0,0
1FHNctV68GUNLgXclG2DtR,1.85685489185417,1,0,0,0
2PpruBYCo4H7WOBJ7Q2EwM,1.85999060570703,1,0,0,0
6Z8R6UsFuGXGtiIxiD8ISb,1.85999060570703,1,0,0,0
4c2W3VKsOFoIg2SFaO6DY5,1.85999060570703,1,0,0,0
083Qf6hn6sFL6xiOHlZUyn,1.85999060570703,1,0,0,0
6KuHjfXHkfnIjdmcIvt9r0,1.86314912495186,1,0,0,0
2i0AUcEnsDm3dsqLrFWUCq,1.86633078373805,1,0,0,0
38zwkK6TtTjIW9tpYBfZ3D,1.87601805114118,1,0,0,0
0EMmVUYs9ZZRHtlADB88uz,1.87601805114118,1,0,0,0
2lYTJK94hb0fd1LQtb6Dhk,1.87929576090242,1,0,0,0
7oGZAicScQt96OAW4AruYy,1.8825983964525,1,0,0,0
1pKeFVVUOPjFsOABub0OaV,1.88592633980143,1,0,0,0
2Gy7qnDwt8Z3MNxqat4CsK,1.88592633980143,1,0,0,0
0mBkoM8r7KAQzZij5swTUL,1.88592633980143,1,0,0,0
7FjZU7XFs7P9jHI9Z0yRhK,1.88592633980143,1,0,0,0
4tCtwWceOPWzenK2HAIJSb,1.88927998180902,1,0,0,0
0r4SsYcwvd8URat6AS2m6f,1.89606597115231,1,0,0,0
5sdb5pMhcK44SSLsj1moUh,1.8994991469907,1,0,0,0
1wsLHgXJ4SKIfd5ePSX1hD,1.8994991469907,1,0,0,0
2ijef6ni2amuunRoKTlgww,1.90295967910021,1,0,0,0
4q8PHoRsPUB52LFylX8Ulz,1.90295967910021,1,0,0,0
0YammaEkYSeo9vQYZ1OwS6,1.90295967910021,1,0,0,0
0ct6r3EGTcMLPtrXHDvVjc,1.90295967910021,1,0,0,0
4Sfa7hdVkqlM8UW5LsSY3F,1.90644800694603,1,0,0,0
3cHyrEgdyYRjgJKSOiOtcS,1.90996458066887,1,0,0,0
2iuZJX9X9P0GKaE93xcPjk,1.90996458066887,1,0,0,0
72Q0FQQo32KJloivv5xge2,1.90996458066887,1,0,0,0
4Jz4bjXeiF2SXVj9P4YfY5,1.91350986143352,1,0,0,0
1pIMxRddmCGalHnRbLFkWg,1.91350986143352,1,0,0,0
1NDxZ7cFAo481dtYWdrUnR,1.91350986143352,1,0,0,0
7GVUmCP00eSsqc4tzj1sDD,1.91350986143352,1,0,0,0
3DGar7krWlmrXRFHBcQF6z,1.91350986143352,1,0,0,0
386RUes7n1uM1yfzgeUuwp,1.91708432179182,1,0,0,0
6mghCOaaSvrke0z1EUVUIf,1.92068844606064,1,0,0,0
0puf9yIluy9W0vpMEUoAnN,1.92068844606064,1,0,0,0
01k24g94i1JvkFLQmVEdCd,1.92432273071574,1,0,0,0
2meEiZKWkiN28gITzFwQo5,1.92798768480214,1,0,0,0
09CtPGIpYB4BrO8qb1RGsF,1.92798768480214,1,0,0,0
447yWcDPg1ddgcHBLGpJC0,1.92798768480214,1,0,0,0
0v3BMLcwUmAwyqJaf5997o,1.92798768480214,1,0,0,0
4dGJf1SER1T6ooX46vwzRB,1.93168383036211,1,0,0,0
0qxYx4F3vm1AOnfux6dDxP,1.93168383036211,1,0,0,0
4vp2J1l5RD4gMZwGFLfRAu,1.93168383036211,1,0,0,0
07ipXN6CNTw34qwSYePKpg,1.93541170288135,1,0,0,0
3528IXKpbb7OMjdjWYlbfD,1.93541170288135,1,0,0,0
0gb1J5UrTpzaU1s3nupgCd,1.93541170288135,1,0,0,0
6jrMVRReY24qzCfe1BRrww,1.93541170288135,1,0,0,0
4gHSezW5CHZCvjAUjF2pd5,1.93541170288135,1,0,0,0
5CtI0qwDJkDQGwXD1H1cLb,1.93917185175466,1,0,0,0
77NNZQSqzLNqh2A9JhLRkg,1.93917185175466,1,0,0,0
4QNpBfC0zvjKqPJcyqBy9W,1.93917185175466,1,0,0,0
7FX3ZWE70VRjsprg5oeECc,1.93917185175466,1,0,0,0
3kGfazcbVvVkuZunzlLgTD,1.93917185175466,1,0,0,0
76hfruVvmfQbw0eYn1nmeC,1.9429648407718,1,0,0,0
6RnkFd8Fqqgk1Uni8RgqCQ,1.95065166943809,1,0,0,0
2iUmqdfGZcHIhS3b9E9EWq,1.95065166943809,1,0,0,0
5k5fWendNngd89O8JKoE8L,1.95847700695004,1,0,0,0
1ExfPZEiahqhLyajhybFeS,1.95847700695004,1,0,0,0
5hTpBe8h35rJ67eAWHQsJx,1.96244319416764,1,0,0,0
2mCF8L0brIs88eH6Kf2h9p,1.96244319416764,1,0,0,0
2QCndYqRherBtKjBpyySC6,1.96244319416764,1,0,0,0
7D49Iig0avHre9RFSUMkd2,1.96244319416764,1,0,0,0
0Y4hwUppbGc8aIBmiTz30A,1.96244319416764,1,0,0,0
7e89621JPkKaeDSTQ3avtg,1.96644593662132,1,0,0,0
6rPO02ozF3bM7NnOV4h6s2,1.96644593662132,1,0,0,0
39IsH7B5byx8NRlEKlZVg9,1.96644593662132,1,0,0,0
6Uy6K3KdmUdAfelUp0SeXn,1.96644593662132,1,0,0,0
4y1LsJpmMti1PfRQV9AWWe,1.96644593662132,1,0,0,0
2XMTqoHHSH0lvuXrvIEdco,1.9745638268435,1,0,0,0
0OaunKfsxkgBvPv68jBbmm,1.9745638268435,1,0,0,0
6RKGBcDtgzXx21zUjpeu6F,1.9745638268435,1,0,0,0
3G7tRC24Uh09Hmp1KZ7LQ2,1.9745638268435,1,0,0,0
48td6xvpokdYwvbl3JIiXP,1.9745638268435,1,0,0,0
6h5PAsRni4IRlxWr6uDPTP,1.97868039303833,1,0,0,0
0CAfXk7DXMnon4gLudAp7J,1.97868039303833,1,0,0,0
1tNJrcVe6gwLEiZCtprs1u,1.97868039303833,1,0,0,0
1rIKgCH4H52lrvDcz50hS8,1.97868039303833,1,0,0,0
2Cd9iWfcOpGDHLz6tVA3G4,1.97868039303833,1,0,0,0
1gihuPhrLraKYrJMAEONyc,1.98283635280949,1,0,0,0
6xTU6B6nFwKKTSZ9ySXS80,1.98283635280949,1,0,0,0
1BltsyC5W3SAABdxyrDXwi,1.9870324674031,1,0,0,0
1WkMMavIMc4JZ8cfMmxHkI,1.9870324674031,1,0,0,0
4HlFJV71xXKIGcU3kRyttv,1.99126952034635,1,0,0,0
6uAm7pG66O1XesXS9bpHSF,1.99126952034635,1,0,0,0
6OtCIsQZ64Vs1EbzztvAv4,1.99126952034635,1,0,0,0
36fRbuu9QkKVDR1j7jTI2U,1.99126952034635,1,0,0,0
43cFjTTCD9Cni4aSL0sORz,1.99126952034635,1,0,0,0
5WQ1hIc5d2EVbRQ8qsj8Uh,1.99126952034635,1,0,0,0
455AfCsOhhLPRc68sE01D8,1.99126952034635,1,0,0,0
